Rank,Title,Count
1,智慧植物種植箱,1075
2,數位轉型時代－以生成式AI幫助架設和更新資料庫,714
3,EasyLoan,596
4,聲影共鳴 Video Eye,427
5,用生成式AI找出農電共生成功的關鍵,385
6,基於 GenAI 生成 EduTalk 物理動畫,380
7,GenTrip - 生成式AI旅遊平台,365
8,E-Learning 智慧學習網站,353
9,警囊妙計,345
10,愛爾達全方位智匯體育引擎,342
11,完全雲端醫院：結合 AI 的醫學生線上臨床診斷邏輯訓練平台,325
12,自動交易策略生成器,256
13,AI 影片搜尋神器,236
14,基於多模態生成式AI的跨場域智慧自動化空間系統,226
15,多功能詞彙工具,208
16,Lazy Diffusion - 予你閒畫,205
17,ChingShin RAGi：手刻RAG實現靜心高中AI客服,191
18,反詐小幫手 — 即時詐騙查證機器人,146
19,智慧居家安全防護,138
20,NowWhat: 地域性智能物聯網系統,130
21,使用生成式AI生成蛋白質片段以提升醫療用胜肽機器學習預測準確性,109
22,GenAI Sports+,94
23,GEN AI智慧高球大師,81
24,台灣中小企業銀行 GenAI 企業金融助手,78
25,AI結合SBOM之弱點追蹤與管理平台,59
26,EssayMetrics自動寫作評分系統,41
27,生成式XR應用平台,41
28,時光旅人,28
29,AI羽球助理教練-智慧訓練、精準指導、追求卓越、成就夢想,19
30,智能估價,9
